17.01.25
Start: Time: 09:33 OCV: 4.2V Load-V: 3.7xxV
End: Time: 14:06 OCV: 3.463V Load-V: 2.845V

Ready to receive

0: raw: 825, soc: 93, lbo: 0
167: raw: 672, soc: 30, lbo: 0

168: raw: 716, soc: 48, lbo: 0

168: raw: 676, soc: 31, lbo: 0

169: raw: 716, soc: 48, lbo: 0

169: raw: 672, soc: 30, lbo: 0

170: raw: 715, soc: 47, lbo: 0

170: raw: 673, soc: 30, lbo: 0

171: raw: 715, soc: 47, lbo: 0

171: raw: 669, soc: 28, lbo: 0

172: raw: 715, soc: 47, lbo: 0

172: raw: 676, soc: 31, lbo: 0

173: raw: 714, soc: 47, lbo: 0

173: raw: 671, soc: 29, lbo: 0

174: raw: 714, soc: 47, lbo: 0

174: raw: 670, soc: 29, lbo: 0

175: raw: 714, soc: 47, lbo: 0

175: raw: 667, soc: 27, lbo: 0

176: raw: 713, soc: 47, lbo: 0

176: raw: 674, soc: 30, lbo: 0

177: raw: 713, soc: 47, lbo: 0

177: raw: 674, soc: 30, lbo: 0

178: raw: 713, soc: 47, lbo: 0

178: raw: 671, soc: 29, lbo: 0

179: raw: 712, soc: 46, lbo: 0

179: raw: 668, soc: 28, lbo: 0

180: raw: 712, soc: 46, lbo: 0

180: raw: 669, soc: 28, lbo: 0

181: raw: 712, soc: 46, lbo: 0

181: raw: 669, soc: 28, lbo: 0

182: raw: 711, soc: 46, lbo: 0

182: raw: 667, soc: 27, lbo: 0

183: raw: 711, soc: 46, lbo: 0

183: raw: 667, soc: 27, lbo: 0

184: raw: 711, soc: 46, lbo: 0

184: raw: 670, soc: 29, lbo: 0

185: raw: 710, soc: 45, lbo: 0

185: raw: 670, soc: 29, lbo: 0

186: raw: 710, soc: 45, lbo: 0

186: raw: 667, soc: 27, lbo: 0

187: raw: 710, soc: 45, lbo: 0

187: raw: 671, soc: 29, lbo: 0

188: raw: 710, soc: 45, lbo: 0

188: raw: 671, soc: 29, lbo: 0

189: raw: 710, soc: 45, lbo: 0

189: raw: 668, soc: 28, lbo: 0

190: raw: 710, soc: 45, lbo: 0

190: raw: 671, soc: 29, lbo: 0

191: raw: 710, soc: 45, lbo: 0

191: raw: 667, soc: 27, lbo: 0

192: raw: 709, soc: 45, lbo: 0

192: raw: 668, soc: 28, lbo: 0

193: raw: 709, soc: 45, lbo: 0

193: raw: 669, soc: 28, lbo: 0

194: raw: 709, soc: 45, lbo: 0

194: raw: 671, soc: 29, lbo: 0

195: raw: 709, soc: 45, lbo: 0

195: raw: 668, soc: 28, lbo: 0

196: raw: 709, soc: 45, lbo: 0

196: raw: 669, soc: 28, lbo: 0

197: raw: 708, soc: 45, lbo: 0

197: raw: 666, soc: 27, lbo: 0

198: raw: 708, soc: 45, lbo: 0

198: raw: 666, soc: 27, lbo: 0

199: raw: 708, soc: 45, lbo: 0

199: raw: 668, soc: 28, lbo: 0

200: raw: 708, soc: 45, lbo: 0

200: raw: 670, soc: 29, lbo: 0

201: raw: 707, soc: 44, lbo: 0

201: raw: 669, soc: 28, lbo: 0

202: raw: 707, soc: 44, lbo: 0

202: raw: 670, soc: 29, lbo: 0

203: raw: 707, soc: 44, lbo: 0

203: raw: 666, soc: 27, lbo: 0

204: raw: 706, soc: 44, lbo: 0

204: raw: 668, soc: 28, lbo: 0

205: raw: 706, soc: 44, lbo: 0

205: raw: 668, soc: 28, lbo: 0

206: raw: 706, soc: 44, lbo: 0

206: raw: 666, soc: 27, lbo: 0

207: raw: 706, soc: 44, lbo: 0

207: raw: 667, soc: 27, lbo: 0

208: raw: 706, soc: 44, lbo: 0

208: raw: 669, soc: 28, lbo: 0

209: raw: 705, soc: 43, lbo: 0

209: raw: 664, soc: 26, lbo: 0

210: raw: 705, soc: 43, lbo: 0

210: raw: 666, soc: 27, lbo: 0

211: raw: 705, soc: 43, lbo: 0

211: raw: 666, soc: 27, lbo: 0

212: raw: 704, soc: 43, lbo: 0

212: raw: 669, soc: 28, lbo: 0

213: raw: 704, soc: 43, lbo: 0

213: raw: 665, soc: 27, lbo: 0

214: raw: 703, soc: 42, lbo: 0

214: raw: 664, soc: 26, lbo: 0

215: raw: 703, soc: 42, lbo: 0

215: raw: 667, soc: 27, lbo: 0

216: raw: 703, soc: 42, lbo: 0

216: raw: 667, soc: 27, lbo: 0

217: raw: 703, soc: 42, lbo: 0

217: raw: 668, soc: 28, lbo: 0

218: raw: 702, soc: 42, lbo: 0

218: raw: 662, soc: 25, lbo: 0

219: raw: 702, soc: 42, lbo: 0

219: raw: 664, soc: 26, lbo: 0

220: raw: 701, soc: 42, lbo: 0

220: raw: 669, soc: 28, lbo: 0

221: raw: 701, soc: 42, lbo: 0

221: raw: 664, soc: 26, lbo: 0

222: raw: 700, soc: 41, lbo: 0

222: raw: 664, soc: 26, lbo: 0

223: raw: 700, soc: 41, lbo: 0

223: raw: 663, soc: 26, lbo: 0

224: raw: 699, soc: 41, lbo: 0

224: raw: 662, soc: 25, lbo: 0

225: raw: 699, soc: 41, lbo: 0

225: raw: 663, soc: 26, lbo: 0

226: raw: 698, soc: 40, lbo: 0

226: raw: 662, soc: 25, lbo: 0

227: raw: 698, soc: 40, lbo: 0

227: raw: 662, soc: 25, lbo: 0

228: raw: 698, soc: 40, lbo: 0

228: raw: 664, soc: 26, lbo: 0

229: raw: 697, soc: 40, lbo: 0

229: raw: 662, soc: 25, lbo: 0

230: raw: 697, soc: 40, lbo: 0

230: raw: 661, soc: 25, lbo: 0

231: raw: 696, soc: 40, lbo: 0

231: raw: 660, soc: 25, lbo: 0

232: raw: 696, soc: 40, lbo: 0

232: raw: 666, soc: 27, lbo: 0

233: raw: 695, soc: 39, lbo: 0

233: raw: 659, soc: 24, lbo: 0

234: raw: 695, soc: 39, lbo: 0

234: raw: 661, soc: 25, lbo: 0

235: raw: 695, soc: 39, lbo: 0

235: raw: 661, soc: 25, lbo: 0

236: raw: 694, soc: 39, lbo: 0

