20.01.25
Start: Time: 08:07 OCV: 4.201V Load-V: 3.832V
End: Time: 20:05 OCV: 3.598V Load-V: 3.190V

0: raw: 829, voltage: 3.965, soc: 95, lbo: 1
167: raw: 793, voltage: 3.793, soc: 80, lbo: 0

167: raw: 772, voltage: 3.693, soc: 71, lbo: 0

168: raw: 793, voltage: 3.793, soc: 80, lbo: 0

168: raw: 773, voltage: 3.698, soc: 72, lbo: 0

169: raw: 793, voltage: 3.793, soc: 80, lbo: 0

169: raw: 772, voltage: 3.693, soc: 71, lbo: 0

170: raw: 793, voltage: 3.793, soc: 80, lbo: 0

170: raw: 772, voltage: 3.693, soc: 71, lbo: 0

171: raw: 792, voltage: 3.788, soc: 80, lbo: 0

171: raw: 771, voltage: 3.688, soc: 71, lbo: 0

172: raw: 792, voltage: 3.788, soc: 80, lbo: 0

172: raw: 771, voltage: 3.688, soc: 71, lbo: 0

173: raw: 792, voltage: 3.788, soc: 80, lbo: 0

173: raw: 772, voltage: 3.693, soc: 71, lbo: 0

174: raw: 792, voltage: 3.788, soc: 80, lbo: 0

174: raw: 771, voltage: 3.688, soc: 71, lbo: 0

175: raw: 792, voltage: 3.788, soc: 80, lbo: 0

175: raw: 771, voltage: 3.688, soc: 71, lbo: 0

176: raw: 792, voltage: 3.788, soc: 80, lbo: 0

176: raw: 771, voltage: 3.688, soc: 71, lbo: 0

177: raw: 791, voltage: 3.784, soc: 79, lbo: 0

177: raw: 771, voltage: 3.688, soc: 71, lbo: 0

178: raw: 791, voltage: 3.784, soc: 79, lbo: 0

178: raw: 770, voltage: 3.683, soc: 70, lbo: 0

179: raw: 791, voltage: 3.784, soc: 79, lbo: 0

179: raw: 770, voltage: 3.683, soc: 70, lbo: 0

180: raw: 791, voltage: 3.784, soc: 79, lbo: 0

180: raw: 769, voltage: 3.678, soc: 70, lbo: 0

181: raw: 791, voltage: 3.784, soc: 79, lbo: 0

181: raw: 770, voltage: 3.683, soc: 70, lbo: 0

182: raw: 791, voltage: 3.784, soc: 79, lbo: 0

182: raw: 770, voltage: 3.683, soc: 70, lbo: 0

183: raw: 790, voltage: 3.779, soc: 79, lbo: 0

183: raw: 769, voltage: 3.678, soc: 70, lbo: 0

184: raw: 790, voltage: 3.779, soc: 79, lbo: 0

184: raw: 770, voltage: 3.683, soc: 70, lbo: 0

185: raw: 790, voltage: 3.779, soc: 79, lbo: 0

185: raw: 769, voltage: 3.678, soc: 70, lbo: 0

186: raw: 790, voltage: 3.779, soc: 79, lbo: 0

186: raw: 769, voltage: 3.678, soc: 70, lbo: 0

187: raw: 790, voltage: 3.779, soc: 79, lbo: 0

187: raw: 769, voltage: 3.678, soc: 70, lbo: 0

188: raw: 790, voltage: 3.779, soc: 79, lbo: 0

188: raw: 769, voltage: 3.678, soc: 70, lbo: 0

189: raw: 789, voltage: 3.774, soc: 78, lbo: 0

189: raw: 768, voltage: 3.674, soc: 70, lbo: 0

190: raw: 789, voltage: 3.774, soc: 78, lbo: 0

190: raw: 768, voltage: 3.674, soc: 70, lbo: 0

191: raw: 789, voltage: 3.774, soc: 78, lbo: 0

191: raw: 767, voltage: 3.669, soc: 69, lbo: 0

192: raw: 789, voltage: 3.774, soc: 78, lbo: 0

192: raw: 767, voltage: 3.669, soc: 69, lbo: 0

193: raw: 789, voltage: 3.774, soc: 78, lbo: 0

